"Arv";"Latitude";"Longitude";"Rua";"Nº da casa";"Bairro";"Espécie";"Copa raio (m)";"Altura (m)";"Distância entre árvores (m)"
1;578134,0147880;9117843,7638900;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";1,48;4,15;29,4
2;578137,1238740;9117844,1859400;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";1,33;3,63;4,2
3;578154,5114420;9117844,7726700;"Agostinho Pereira Lima";"575";"São Cristovão";"Ficus Bejamin";2,08;4,84;12,6
4;578157,2379110;9117845,0695500;"Agostinho Pereira Lima";"575";"São Cristovão";"Ficus Bejamin";1,98;4,84;3,5
5;578167,1987220;9117845,5279300;"Agostinho Pereira Lima";"591";"São Cristovão";"Nim indiano";1,65;3,46;11,2
6;578173,2278110;9117845,7092800;"Agostinho Pereira Lima";"591";"São Cristovão";"Ficus Bejamin";2,32;4,49;3,5
7;578187,8712510;9117845,9779100;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Nim indiano";0,04;2,42;14,7
8;578190,9809830;9117845,9229100;"Agostinho Pereira Lima";"615";"São Cristovão";"Ficus Bejamin";0,46;2,42;3,5
9;578194,3319730;9117845,9370400;"Agostinho Pereira Lima";"615";"São Cristovão";"Nim indiano";0,53;2,59;4,2
10;578391,7601070;9117795,5750800;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";4,99;8,32;210,0
11;578186,6751810;9117839,2300500;"Agostinho Pereira Lima";"630";"São Cristovão";"Ficus Bejamin";1,65;4,84;214,9
12;578145,5581310;9117839,0446900;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";1,07;3,11;44,1
13;578141,6080320;9117838,8364100;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";1,86;3,97;4,2
14;578362,8293930;9117055,8840400;"Antonio Alves da Silveira";"Posto de saúde";"São Cristovão";"Ficus benjamim";2,60;5,00;14,8
15;578360,8549340;9117056,9928000;"Antonio Alves da Silveira";"Posto de saúde";"São Cristovão";"Olho-de-pombo";0,75;2,40;7,0
16;578358,9648940;9117057,9490800;"Antonio Alves da Silveira";"Posto de saúde";"São Cristovão";"Olho-de-pombo";3,15;5,70;4,7
17;578336,4409210;9117070,0810700;"Antonio Alves da Silveira";"s/n";"São Cristovão";"Nim indiano";1,83;3,71;25,7
18;578325,3108650;9117074,2572700;"Antonio Alves da Silveira";"151";"São Cristovão";"Ficus benjamim";1,83;3,71;11,7
19;578320,9538530;9117076,1981100;"Antonio Alves da Silveira";"802";"São Cristovão";"Olho-de-pombo";1,60;3,50;7,8
20;578314,2315960;9117078,6254400;"Antonio Alves da Silveira";"798";"São Cristovão";"Ficus benjamim";1,83;3,71;7,0
21;578309,4341220;9117080,6236300;"Antonio Alves da Silveira";"700";"São Cristovão";"Acácia";1,60;3,60;6,2
22;578304,9074330;9117082,0670600;"Antonio Alves da Silveira";"694";"São Cristovão";"Acácia";1,50;3,00;5,5
23;578298,1701490;9117084,9375200;"Antonio Alves da Silveira";"686";"São Cristovão";"Olho-de-pombo";3,00;5,00;8,6
24;578294,9545690;9117086,3575000;"Antonio Alves da Silveira";"680";"São Cristovão";"Acácia";6,50;6,00;7,8
25;578290,6081640;9117088,0073100;"Antonio Alves da Silveira";"676";"São Cristovão";"Acácia";3,00;5,00;6,2
26;578285,4947450;9117090,0450600;"Antonio Alves da Silveira";"672";"São Cristovão";"Acácia";3,30;5,50;7,0
